comment,label,rate
Ch?t l??ng s?n ph?m tuy?t v?i ?? r?t ??p s? ?ng h? shop ti?p.,POS,5
Sa?n pha?n m??i.Ch?t l??ng s?n ph?m tuy?t v?i .,POS,5
Giao hàng nhanh.????.,POS,5
R?t ngon nh?ng mà thì nên xé nh? khô l?i.,POS,4
Ch?t l??ng s?n ph?m tuy?t v?i ?óng gói s?n ph?m r?t ??p và ch?c ch?n Shop ph?c v? r?t t?t R?t ?áng ti?n Th?i gian giao hàng r?t nhanh??????.,POS,5
Ch?t ok á..nh?ng rep ib thì h?i lâu.,POS,4
Luôn ?ng h? shop.,POS,5
Âm r?t d?.,NEG,1
X?u và nhìn phom áo chán ??i luôn.,NEG,1
Ch?t l??ng s?n ph?m t?t ?áng ??ng ti?n.,POS,5
"Chu?n qu?n v?i ??p ôm g?n chân, mà v?i còn mát n?a .",POS,5
"Shop v?n chuy?n hàng nhanh, váy khá ?n, mà còn ?c t?ng quà n?a hihi l?c nh? nh? xinh xinh nào ?eo bé nhà ????.",POS,5
Nhìn cái áo c? màu không ??p vãi m?ng không ?ág ti?n l?m.,NEG,2
??p vào m?t là 175000? làm m?t h?ng .S?n ph?m ???c. màu ??m h?n hình.áo có mùi nh? thu?c t?y gi?t mãi ko h?t.,NEG,2
Chu?n hàng Bitis.,POS,4
Màu ko ??p nh? hình chup.,NEG,1
Hàng ??p giao nhanh.,POS,5
"Ch?t l??ng s?n ph?m tuy?t v?i , v?i ok , thích h?p nh?ng thích form r?ng l?m nè.",POS,5
H?p v?i giá 130k.,POS,5
"Form áo x?u l?m, m?c lên nh? tá ?i?n, ch? tà áo bên d??i r?t dài ch? ko ng?n nh? ?nh m?u m?c, b?o th?y clip g?p ?ôi áo vào.",NEG,2
Th?i gian giao hàng r?t nhanh.,POS,5
"Công ngh? h?i l?, ko bi?t có b?n ko.",NEU,3
G?i h?i nh?.,NEG,2
"Áo nhìn xinh , shop nói chuy?n c?c ?áng yêu.",POS,5
Ch?t l??ng s?n ph?m t?m ???c.chi?u dài áo ng?n quá.,NEU,3
Mùi len h?i n?ng ?ã gi?t nh?ng v?n còn n?ng mùi.,NEG,1
V?i oke l?m luôn.,POS,5
"S?n ph?m t?m ???c, ?óng gói không ??p.",NEG,2
Ch?a th?y shop nào hãm l th? này.,NEG,1
"s?n ph?m r?t ok, k? c? áo c?a n? ch?t v?i c?ng m?m ??p, lên ch?nh, tui mình di?n ?i sinh nh?t c?ng khen ??p ?ôi, nói là r?t hài lòng.",POS,5
T?m giá là s? d?ng tot.,POS,5
Không dùng ???c.,NEG,2
Ch?t l??ng s?n ph?m t?m ???c a?o h?i ng??n v??i hi?nh.,NEG,2
S?n ph?m tôt giao hang nhanh.,POS,4
Hàng bình th??ng.,NEU,3
K duong nao de che .,NEG,1
Ch?t v?i ok dày d?n.,POS,5
?ng!,POS,4
mua thêm 1 combo n?a.,NEU,3
áo dep lam shop ui.mình rat thix.,POS,5
Th?i gian giao hàng nhanh.,POS,5
R?t ?ng hiii.,POS,5
K giao.,NEG,2
Màu s?c k gi?ng hình.,NEG,2
Áo v?i quá x?u.,NEG,1
"Nói là mình mua m?c ?i làm ok, ?áng ti?n.",POS,5
"Shop nhi?t tình giúp ??, ch?t l??ng qu?n thì kh?i chê, dài r?ng gì c?ng v?a ý mình h?t.",POS,5
"Yêu c?u ??i tr? Shop yêu c?u g?i ?nh, g?i r im l?ng.",NEG,2
Th?i gian giao hàng r?t R?t ?áng ti?n Shop ph?c v? r?t t?t ?óng gói s?n ph?m r?t ??p và ch?c ch?n Ch?t l??ng s?n ph?m tuy?t v?i ?óng gói s?n ph?m r?t ??p và ch?c ch?n ?óng gói s?n ph?m r?t ??p và ch?c ch?n ?óng gói s?n ph?m r?t ??p và ch?c ch?n.,POS,5
Hàng kém ch?t l??ng và không nh? qu?ng cáo.,NEG,2
Shop ph?c v? r?t t?t.,POS,5
Nói là không th?t v?ng ?âu.,POS,4
Ch?t l??ng s?n ph?m tuy?t v?i.,POS,5
S?n ph?m gi?ng hình.,NEU,3
Gi?y h?i c?ng Ch?t l??ng s?n ph?m t?m ???c.,NEU,3
S? ch?t qu?n thì Ok luôn.,POS,4
"Vay ??p k?,tu van nhiet tinh.",POS,5
Y hình.,POS,5
Nt ko tr? l?i.,NEG,2
Châ?t l???ng v??a v??i gia? tiê?n.,POS,4
S? ?ng h? shop dài.,POS,5
Hàng ch?t l??ng h?n giá s?n ph?m nhak m?i ng??i.,POS,4
Áo rách ntn ko hi?u ph?i m?c ntn luôn.,NEG,1
"nh?ng c?ng phù h?p v?i giá ti?n, m?c v?n ok!",POS,4
?ô? m??c v??a.Thun h?i ôm dê? thâ?y bu?ng.??.,POS,4
Ch?n màu này l?y màu kia.,NEG,2
"hàng t??ng ??i ?n,mình khá hài lòng.",POS,4
Inbox ko thèm tr? l?i.,NEG,2
Mình mua 2 chai v? tàng tr? d?n vì lo?i này v?a t?y s?ch v?a không d? gây m?n nh? d?u t?y trang.,POS,5
M?t uy tín.,NEG,1
Màu ngoài ko gi?ng ?nh nh?ng ch?t l??ng khá ok v?i giá.,POS,4
R?t ?ng.,POS,5
"shop giao hàng nhanh, g?i ?úng màu, áo gi?ng hình, m?c dù ch?t v?i ko ??p nh? mong mu?n nh?ng v?n shop 5*.",POS,4
"Shop ph?c v? r?t t?t, Th?i gian giao hàng r?t nhanh.",POS,5
giày ??p l?m . giao hàng lâu quá mun ?iên.,POS,4
Shop giao siêu nhanh.,POS,5
Giao hàng nhanh.,POS,5
Ch?t l??ng s?n ph?m tuy?t v?i ?óng gói s?n ph?m r?t ??p và ch?c ch?n R?t ?áng ti?n Th?i gian giao hàng t?m ???c ?áng ??ng ti?n.,POS,4
Ch?t l??ng s?n ph?m tuy?t v?i.,POS,5
V?a ý.,POS,4
"4 qu?n size L nh?ng l?i b? cái to cái bé, còn v?i giá ti?n nvay thì c?ng k mong ch?t ??p h?n.",POS,4
Shop ph?c v? r?t t?t Th?i gian giao hàng r?t Th?i gian giao hàng r?t Th?i gian giao hàng r?t Th?i gian giao hàng r?t Th?i gian giao hàng r?t Th?i gian giao hàng r?t Th?i gian giao hàng r?t Th?i gian giao hàng r?t Th?i gian giao hàng r?t nhanh.,POS,5
Nh?ng ko tks shop.,POS,4
Ch?t l??ng sp t?t nh?ng giao hàng ch?m onl c?ng ch?ng tr? l?i gì.,POS,4
Vài thun r?t m?ng ko fai len.,NEG,1
?óng gói s?n ph?m r?t ??p và ch?c ch?n Shop ph?c v? r?t t?t.??????.,POS,5
"?óng gói s?n ph?m ch?c ch?n , shop giao hàng , nh?n 20/10 ?? v? sp thì ch?t v?i c?ng ?c, h?p m?c mùa thu.áo ??p nh?ng mà shop nên ki?m tra k? Sp ?i ? ?? áo thì c? vài ch? l?i có v?t b?n xong l?i có màu xanh xanh ? g?n ?uôi áo ?? ch?a k? lúc m? hàng thì b? cái d?m suýt ?âm vào tay??.",POS,4
Shop giao hàng c?c lun tr?a hom ??t mà tr?a ?ã giao.,POS,5
Thêm t??ng vào shoppe.,POS,4
Áo v?i ??p m?n mát ?.,POS,5
Ch?t l??ng s?n ph?m tuy?t v?i; Th?i gian giao hàng r?t nhanh.,POS,5
Ch? shop nhi?t tình.,POS,5
R?t ?áng ti?n.,POS,5
S?n ph?m r?t ??p.,POS,5
H?i thô.,NEG,2
Va?i râ?t mo?ng.,NEG,2
Hàng y nh? hình.,NEU,3
??p l?i r?.,POS,5
Ch?t l??ng s?n ph?m tuy?t v?i ?ng s? ?ng h? shop dài giao hàng nhanh.,POS,5
"l?i s?a ?ánh giá tung t?ng m?c váy di?n muôn n?i ~ váy ch?t k có gì ?? chê, tuy?t v?i, dày d?n, m?c ?úng ki?u chùm chân mình thích, che ???c mông, c?p cao, m?c lên eo ót v?i c? chân dài c? mét :)) tuy?t v?i 1 chi?c váy 159k.",POS,5
"Ao m?c ??p, ch?t ??p . th?i gian giao hàng r?t nhanh.",POS,5
"Giao hàng r?t nhanh, aó ??p, nói r?t hài lòng.",POS,5
"??t xanh ??m mà giao m?u xám , th?t v?ng quá,màu th?y c? xèm.",NEG,2
Qu? ko ??p Ch?t l??ng s?n ph?m t?m ???c.,NEG,2
"Áo ch?t ??p, shop ph?c v? t?t.",POS,4
?óng gói s?n ph?m ch?c ch?n.,POS,5
Tôi r?t hài lòng v? s?n ph?m.,POS,5
Ch?t l??ng s?n ph?m tuy?t v?i r?t ?ng ý ?? ??p.,POS,5
Shop lam ?n không uy tín.. s?m ph?m thì d?m.. chát thì ch?n.,NEG,1
Hàng r?t ok ??.,POS,5
CL phù h?p giá ti?n.,NEU,3
"?úng hình ?nh, ??p.",POS,5
M?u c?ng ?a d?ng.,POS,5
Ch?t l??ng s?n ph?m tuy?t v?i ?óng gói s?n ph?m r?t ??p và ch?c ch?n.,POS,5
H?t hàng thì ph?i báo v?i khách ch? ??ng này v?n giao.,NEG,2
"Ban ??u mình ngh? là ren m?ng, nh?ng nh?n ?c thì th?y ren ??p h?n mình t??ng t??ng.",POS,5
"??p, v?a ý...",POS,4
Tuy?t ? ... giày nh? êm.,POS,5
?úng m?i 1 màu.,NEG,2
S?n ph?m ch?t l??ng .,POS,4
"C? áo b? rách shop nên ktra k? trc giao, mình 40kg 1,55m mà m?c h?i ch?t.",NEG,1
?óng gói k?.,POS,5
Gói hàng c?n th?n.,POS,5
C?m ?n shop nhìu.,POS,4
"?ây là l?n th? 2 mua sp c?a shop , giày ??p , cách ph?c v? t?t ?? s? ?ng h? shop nhi?u n?a.",POS,5
Son lên màu ??p không b? khô c?ng và l? vân môi nh? màu 12 R?t ?áng ti?n.,POS,5
C?m ?n shop nhé.,POS,4
Gi?ng hình mà v?i h?i c?ng b?n ?k.,POS,4
"Ch?t áo ??p l?m, yêu shop.",POS,5
Qu?n c?a shop quá ??p luôn.,POS,5
"Minh lay sz l?n nh?t r?ng roi , sz xxl mà nhìn thay bé h?n qu?n c? , ch?ng mình 72kg , sp ch?t thì nhìn t?t ?óng gói s?n ph?m r?t ??p và ch?c ch?n.",POS,5
Ch?t l??ng s?n ph?m tuy?t v?i Ch?t l??ng s?n ph?m tuy?t v?i ?óng gói s?n ph?m r?t ??p và ch?c ch?n ?óng gói s?n ph?m r?t ??p và ch?c ch?n Th?i gian giao hàng r?t R?t ?áng ti?n.,POS,5
Ch?t thì ok nh?ng c? áo ko gi?ng hình.c? áo ko r?ng mà ôm.,NEU,3
??t 2 qu?n dài mà ?óng gói 1 qu?n ng?.,NEG,2
Khuy?n khích 5*.,POS,5
"Nét ch? không ???c rõ, sp có mùi h?i kinh.",NEG,1
M??c phô?i v??i chân va?y jean ?ê?u ?e?p.,POS,5
Nh?ng GHTK thu tròn 110.000 ?.,NEG,2
"Không gi?ng hình l?m nh?ng ch?t l??ng c?ng OK ,Mua 3 mà m?i sp này là ?c .",NEU,3
Ch?t l??ng s?n ph?m tuy?t v?i ?óng gói s?n ph?m r?t ??p và ch?c ch?n.sácg hay.,POS,5
"?óng gói sp ch?c ch?n, giao hàng r?t nhanh.",POS,5
Ch?t l??ng s?n ph?m kém không gi?ng nh? mô t?.,NEG,2
?áng ti?n.,POS,5
Váy m?c siêu xinh.,POS,5
Th?i gian giao hàng r?t hàng y hình.,POS,4
V?i thì r?t ??p.,POS,5
Ti?n nào c?a náy.,NEU,3
Gooddd.,POS,5
Áo r?ng h?n hình nhi?u.,NEG,2
?óng gói s?n ph?m r?t ??p và ch?c ch?n.,POS,5
kem bên là màu tr?ng khác v?i kem ngày là màu vàng nh? .th?i gian giao hàng ch?m.,NEU,3
Áo from r?ng nh? ?nh.,POS,5
Ch?t li?u v?i ?n.nh?ng h?i r?ng.,NEU,3
Ship ko ?úng màu.,NEG,1
vãi n? dày . nóng.,NEG,2
"Shop ph?c v? r?t t?t, ch?t l??ng sp ok.",POS,5
"ngon ??y, nh?ng ?ang ?n thì ?n ph?i c?ng thun.",NEG,2
Khá ok ?? s? ?ng h? shop ti?p.,POS,4
??p l?m nha.,POS,5
Áo v?a quá.,POS,5
Th?i gian giao hàng nhanh.,POS,4
Áo ??p l?m b ?i.,POS,5
Màu thì ko th?c s? gi?ng hình.,NEG,1
Ch?t l??ng v?i kém ko nh? hình .,NEG,2
?ã Video và ch?p ?nh nh?ng shop không ph?n h?i.,NEG,2
"Qu?n tho?i mái, v?a v?n, ??p Shop ph?c v? r?t t?t.",POS,5
"V?n chuy?n hàg k nh?t lót vào c?p, nên c?p b? méo m?t dág.",NEG,2
giao 2 sp.trat lat het 2 sp.minh la de chiu nhat hi ua hang.hoi that vong.,NEG,2
"Ngày flash sale 39k/ chai, h?t flash lên 55k xong 50k.",NEU,3
?óng gói s?n ph?m r?t ??p và ch?c ch?n.,POS,4
Ch?t dc.,POS,5
"Ch?t l??ng s?n ph?m tuy?t v?i, h?p v?i giá ti?n, s? siêu thích, màu random nh?ng ??p l?m ?!",POS,5
"M?t ong loãng, ko ??c sánh l?m.",NEG,2
S? ti?p t?c ?ng h? shop dài lâu!,POS,5
Dép ?i êm và m?m.,POS,4
"Váy ??p, v?i thì mình th?y pha nilon nên h?i nóng.",NEU,3
Ch?t t?m dc t??ng s?ng giá ti?n.,POS,5
Giao hàng và ch?m sóc t?n tình.,POS,5
giá t?t. nh?ng giao hàng ch?m quá. không có s? ?t liên h? c?n g?p.,NEU,3
Shop doi tra ok.,NEU,3
Thâ?t s?? mi?nh qua? ?ng 1 sp re? ma? châ?t l???ng .,POS,5
L?c ?n nh?ng hi v?ng shop ?óng hàng k? h?n.,POS,4
"V?i m?ng, thô h?n mình t??ng t??ng.",NEU,3
Giao hàng nhanh.,POS,5
Th?i gian giao hàng Ch?t l??ng s?n ph?m t?t ?óng gói s?n ph?m ch?c ch?n Shop ph?c v? khá t?t.,POS,5
"áo màu s?c t??i sáng, v?i ch?t ?.",POS,5
Shop r?t thái ?? v?i khách hàng.,NEG,1
b? ch?t ng?n.,NEG,2
Shop ph?c v? r?t t?t Th?i gian giao hàng r?t Ch?t l??ng s?n ph?m tuy?t v?i R?t ?áng ti?n.,POS,5
???c t?t.,POS,5
Ch?t l??ng s?n ph?m tuy?t v?i.,POS,5
Ch?t l??ng sp qá t?.,NEG,1
Ch? shop nhi?t tình d? th??ng.,POS,5
"Giao ha?ng nhanh,.",POS,4
?àn nhìn c?ng l?m ??????.,POS,4
Ch?t l??ng s?n ph?m tuy?t v?i qu?n h?i m?ng ?.,POS,4
"Ch?t l??ng s?n ph?m r?t kém Shop ph?c v? r?t kém R?t không ?áng ti?n,Shop phu?c vu kem , nhan ve Tien se hoan lai thi khong thay tra lo?i gi? het.",NEG,1
Nh?ng khá ok r?i.,POS,4
Hihi ?ng l?m ? giày ??p l?m nha m.n ?i êm mà d? ph?i ?? c?c.,POS,5
Ch? gì c? .ch?t l??ng kém.,NEG,1
Gui sai m?t sp còn l?i ch?t l??ng t?t.,NEU,3
Ch?t r?t oke.,POS,5
"R?t ?ng, m?c tho?i mái mà ch?t v?i r?t thích.",POS,5
Nh?ng mà shop nói có t?ng kèm dây ?àn mà mình nh?n ???c không có ?.,NEG,2
Shop ph?c v? r?t t?t R?t ?áng ti?n Th?i gian giao hàng r?t r?t ?ng.,POS,5
R?t ?ng ý ;) s? ti?p t?c mua ?? ?ng h? shop.,POS,5
Ch? nh?n hàng h?t c? h?n ngâm xà bông chà mãi v?n k s?ch.,NEG,1
"thik mua,cho?n size l??n h?n 2size ok h?n.",POS,4
??p hút h?n .,POS,5
Giao hàng c?ng ^^!,POS,4
Giá còn r?.,POS,4
?óng gói s?n ph?m r?t ??p và ch?c ch?n Ch?t l??ng s?n ph?m t?t ?óng gói s?n ph?m r?t ??p và ch?c ch?n.,POS,5
"S?n ph?m b? ?u,không giòn và c?ng không có th?i h?n s? d?ng trên bao bì.",NEG,2
Không t?t ch?t li?u s?u.,NEG,2
"Ch?t l??ng s?n ph?m tuy?t v?i, shop này uy tín quá.",POS,5
V?i kate thun m?ng nh? mát.,POS,5
Ch?t l??ng s?n ph?m tuy?t v?i.?óng gói s?n ph?m r?t ??p và ch?c ch?n.shop ph?c v? r?t t?t.,POS,5
Ch?t v?i ???c.,POS,4
"S?n ph?m ??p ,?n .ch?c ch?n mà l?i r? h?n vs mình mua ngoàí shop ??t mà m?c ch?a ?c 1 hôm ?ã ??t khuy.",POS,5
"Áo s? mi ??p, gi?ng hình.",NEU,3
"?óng gói ??p, giao ?úng hàng, sp ch?t l??ng, giá t?t... r?t hài lòng shop ?i, s? ti?p t?c ?ng h? nè.",POS,5
nhiên mình mua 2 cái thì cái size L ? áo b? vi?t s? màu xanh lên ch? áo mình gi?t ko ra.,NEG,1
"Shop ?óng gói c?n th?n, có kèm 1 t? thi?p và 1 t? r?i gi?i thi?u n?a. ??.",POS,5
Ch?t l??ng s?n ph?m tuy?t v?i Ch?t l??ng s?n ph?m tuy?t v?i Ch?t l??ng s?n ph?m tuy?t v?iO.,POS,5
Ko ?ng y lam.,NEG,2
Shoppe nên coi l?i ch?n ng??i bán c9s kinh nghi?m chút.,NEG,2
Ch?t l??ng s?n ph?m tuy?t v?i.,POS,5
Gi? ch?ng bi?t làm gì v?i cái áo ?ó.,NEG,1
Ncl r?t ?ng.,POS,5
Th?i gian giao hàng r?t nhanh.,POS,5
"Kem th?m th?u r?t nhanh, thoa xong sáng d?y có c?m giác c?ng da và m?n h?n , còn vi?c ch?ng lão hóa thì ph?i xài h?t m?i bi?t k?t qu?.",POS,4
"ch?t l??ng ok,m?i t?i b?ng r?ng quá.l?i ph?i s?a.",NEU,3
Shop ph?c v? r?t t?t.,POS,5
Ch?t áo m?ngg.,NEU,3
Ch?t l??ng s?n ph?m tuy?t v?i .?óng gói s?n ph?m r?t ??p và ch?c ch?n.,POS,5
"?óng gói s?n ph?m t?t, c?n thêm h?p ??ng s? t?t h?n.",POS,4
ch?t li?u v?i thì c?ng t?m ???c. chán cái ???ng ch? 1 cái thì b?c ch? ? túi còn 1 cái máy c? vào chun.,NEG,2
"?óng gói s?n ph?m r?t ??p và ch?c ch?n ?óng gói s?n ph?m r?t ??p và ch?c ch?n , áo khá to v?i mình, nên b?n nào mu?n mua size L mà t??ng ng??i nh? bé thì nên ch?n soze M nha : , ???c t?ng móc khóa hình Jinmin thích l?mm ><.",POS,5
"Hàng chu?n, uy tín.",POS,4
Mua 2 chai mà m?i x?t dc 1 l?n thì h? m?t cái n?p!!,NEU,3
Th?i gian giao hàng r?t nhanh.,POS,5
??t hàng ko giao hàng là v?y á.,NEG,1
H?i m?ng :)) k nh? mong ??i.,NEG,2
?ng h? shop ngàn luôn nè ????.,POS,5
Hic.,NEG,2
"Ch?t l??ng s?n ph?m tuy?t v?i ?óng gói s?n ph?m r?t ??p và ch?c ch?n, ch? s nhi?t tình, vui tính.",POS,4
Giao hàng nhanh.,POS,4
Ch?t l??ng khá t?t.,POS,4
V?i dày và co giãn t?t.,POS,4
Nh?ng n?u màu h?ng t??i thì ok !,POS,4
V?i r?t ??p.,POS,5
Ch?t l??ng s?n ph?m t?t ?óng gói s?n ph?m ch?c ch?n Shop ph?c v? khá t?t Th?i gian giao hàng h?i ch?m.,NEU,3
Áo này dày h?n và ch?t ??p h?n cái màu tr?ng mk mua.,POS,4
"Mình 50kg b?u 4 tháng mua size 2XL mà m?c v?a zin,dáng qu?n ??p,m?y n?a b?ng to tí ph?i mua size to h?n thôi :).",NEU,3
Ch?t l??ng s?n ph?m tuy?t v?i.,POS,5
N? ?m và dày.,POS,5
